"adm1","adm2","cm_rdt_kit_quantity","cm_act_packs_quantity","cm_iv_artesunate_quantity","cm_ras_quantity"
"Ekiti","Ijero",39079.1364483685,93685.0468372439,9075.78226579668,726.025586329399
"Ekiti","Ikere",26165.9523804011,62728.0614948519,6076.80998518172,486.120028367232
"Ekiti","Ikole",30015.5131931883,71956.6759890662,6970.83628491739,557.638488093361
"Ekiti","Ilejemeje",7654.56000013362,18350.4006819207,1777.70355784281,142.209038307002
"Ekiti","Irepodun/Ifelodun",23131.5346606583,55453.6027418174,5372.09342717265,429.745576310051
"Ekiti","Ise/Orun",20070.5208719765,48115.3848018947,4661.20016842877,372.87701337171
"Ekiti","Moba",25611.1337237265,61397.9857418882,5947.9582811111,475.812417270174
"Ekiti","Oye",24270.4100365497,58183.8471286946,5636.58711559189,450.903993247695
"Lagos","Agege",34479.5721291779,233055.048934893,22577.1920326795,1806.16522956586
"Lagos","Ajeromi Ifelodun",51323.7051726567,346908.267182686,33606.7148156726,2688.52210195778
"Lagos","Alimosho",98535.859718656,666025.654916406,64521.1900727351,5161.66624755211
"Lagos","Amuwo Odofin",24565.4341077099,166043.198756357,16085.4235991682,1286.826668507
"Lagos","Apapa",16650.954905211,112547.484513671,10903.0299162068,872.237499821271
"Lagos","Badagry",17752.003087955,119989.712542131,11623.9952508667,929.914403011896
"Lagos","Epe",13570.5588635323,91726.4068175021,8885.98942889654,710.875166120379
"Lagos","Eti Osa",21191.4252172995,143237.526919265,13876.125689282,1110.08382728861
"Lagos","Ibeju/Lekki",8795.91512987149,59453.5344968692,5759.55711533346,460.761984234199
"Lagos","Ifako Ijaye",31940.2540890022,215891.23704369,20914.4489217643,1673.14652696156
"Lagos","Ikeja",23717.0781630403,160308.97341683,15529.9209089633,1242.38670261018
"Lagos","Ikorodu",39420.959884003,266454.980949493,25812.8081775275,2065.01306895117
"Lagos","Kosofe",50984.3926638477,344614.778938446,33384.5332978229,2670.74768024884
"Lagos","Lagos Island",15882.8720562654,107355.842770658,10400.0899750531,832.002530257435
"Lagos","Lagos Mainland",24395.5538353639,164894.940447456,15974.1861535018,1277.92772277905
"Lagos","Mushin",47182.4348324197,318916.505620778,30895.0148160184,2471.587319045
"Lagos","Ojo",45488.5605036734,307467.234640949,29785.8674676681,2382.85602898219
"Lagos","Oshodi Isolo",46973.6501108902,317505.283540915,30758.3027729048,2460.65041695473
"Lagos","Shomolu",30135.5655518334,203692.948336208,19732.7405319332,1578.61038614698
"Lagos","Surulere",37550.2607267225,253810.511870554,24587.8760945231,1967.0190520823
"Ogun","Abeokuta North",99506.9634289376,91073.6516412829,8822.77474208581,705.845297328486
"Ogun","Abeokuta South",125286.581577047,114668.42211524,11108.521950322,888.711115053515
"Ogun","Ado Odo/Ota",263913.972887375,241547.007382822,23399.9054321169,1872.05427884315
"Ogun","Ewekoro",27577.1135612947,25239.9264052215,2445.12195532908,195.616218708497
"Ogun","Ifo",269884.600926493,247011.618897197,23929.2905569633,1914.40648795782
"Ogun","Ijebu East",54721.2464675059,50083.5676863707,4851.85372512897,388.161121112149
"Ogun","Ijebu North",140415.876721442,128515.494803201,12449.9593579749,996.029652988721
"Ogun","Ijebu North East",34438.23013844,31519.5566892208,3053.46215538527,244.285042512562
"Ogun","Ijebu Ode",78667.8297498165,72000.654779573,6975.07508433873,558.024441370884
"Ogun","Ikenne",59624.6898168686,54571.4394498533,5286.61702853237,422.943334432687
"Ogun","Imeko Afon",41522.0939890099,38003.0561988988,3681.55221967324,294.533907652646
"Ogun","Ipokia",75277.0656370579,68897.2612183407,6674.43333084193,533.972306516522
